Score	Bval	Edges
-2166.3672	0.777300736569	5->8,0->8,0->6,5->7,0->3,2->8,4->6,3->8,2->3
-2166.6187	0.604122338339	5->7,5->8,0->8,0->6,0->3,2->8,3->8,2->3
-2166.6438	0.435236619414	5->8,0->6,5->7,0->3,2->8,3->8
-2166.8954	0.303918566326	5->8,0->6,5->7,0->3,2->8,3->8
-2167.7173	0.246191724202	5->8,0->6,5->7,0->3,2->8,3->8
-2167.9940	0.202418501928	5->8,0->6,5->7,0->3,2->8,3->8
-2168.0670	0.161726878169	5->8,0->6,0->3,2->8,3->8
-2168.3186	0.130086874249	5->8,0->6,0->3,2->8,3->8
-2168.3436	0.0992280648085	5->8,0->6,0->3,2->8,3->8
-2168.5952	0.07523362169	5->8,0->6,0->3,2->8,3->8
-2169.4171	0.0646857693787	5->8,0->6,0->3,2->8,3->8
-2169.6515	0.0563419400192	5->8,0->3,2->8,3->8
-2169.6938	0.0483436940258	5->8,0->3,2->8,3->8
-2169.9031	0.0418559019629	5->8,0->3,2->8,3->8
-2169.9282	0.0355289267859	5->8,0->3,2->8,3->8
-2170.1797	0.0306088592028	5->8,0->3,2->8,3->8
-2170.5444	0.0271923399625	5->8,0->3,2->8,3->8
-2170.8210	0.0246013960176	5->8,0->3,2->8,3->8
-2171.0017	0.0224387720877	5->8,0->3,2->8,3->8
-2171.2783	0.0207987294062	5->8,0->3,2->8,3->8
-2171.3514	0.019274296819	5->8,0->3,2->8,3->8
-2171.6029	0.0180888470354	5->8,0->3,2->8,3->8
-2171.6280	0.0169327817235	5->8,0->3,2->8,3->8
-2171.6927	0.0158491454921	5->8,0->3,2->8,3->8
-2171.8796	0.0149502403215	5->8,0->3,2->8,3->8
-2171.9443	0.014107652795	5->8,0->3,2->8,3->8
-2171.9693	0.0132858688287	5->8,0->3,2->8,3->8
-2172.0373	0.0125181085512	5->8,0->3,2->8,3->8
-2172.0963	0.0117943357405	5->8,0->3,2->8,3->8
-2172.2209	0.0111553529348	5->8,0->3,2->8,3->8
-2172.2442	0.0105310863192	5->8,0->3,2->8,3->8
-2172.2888	0.00993405023994	5->8,0->3,2->8,3->8
-2172.3479	0.0093712765668	5->8,0->3,2->8,3->8
-2172.5208	0.00889785912229	5->8,0->3,2->8,3->8
-2172.5491	0.00843765158959	5->8,2->8,3->8,0->3
-2172.7015	0.00804249680582	5->8,2->8,3->8,0->3
-2172.8007	0.00768465981643	5->8,2->8,3->8,0->3
-2172.8258	0.00733569275225	5->8,2->8,3->8,0->3
-2172.9782	0.00703605401322	5->8,2->8,3->8,0->3
-2172.9923	0.00674061053432	5->8,2->8,3->8,0->3
-2173.0428	0.00645971648605	5->8,2->8,3->8,0->3
-2173.0774	0.00618837515683	5->8,2->8,3->8,0->3
-2173.0840	0.00591881878354	5->8,2->8,3->8,0->3
-2173.2438	0.00568907204951	5->8,2->8,3->8,0->3
-2173.2689	0.00546502018887	5->8,2->8,3->8,0->3
-2173.3195	0.00525202330289	5->8,2->8,3->8,0->3
-2173.3356	0.00504242820887	5->8,2->8,3->8,0->3
-2173.3606	0.00483800803615	5->8,2->8,3->8,0->3
-2173.3874	0.00463899356414	5->8,2->8,3->8,0->3
-2173.3925	0.00444099148214	5->8,2->8,3->8,0->3
-2173.4465	0.00425339795249	5->8,2->8,3->8,0->3
-2173.5195	0.00407901085163	5->8,2->8,3->8,0->3
-2173.5205	0.00390479805071	5->8,2->8,3->8,0->3
-2173.6122	0.0037458499806	5->8,2->8,3->8,0->3
-2173.6441	0.00359189233349	5->8,2->8,3->8,0->3
-2173.6691	0.00344173591424	5->8,2->8,3->8,0->3
-2173.7371	0.00330145070687	5->8,2->8,3->8,0->3
-2173.7711	0.00316585502291	5->8,2->8,3->8,0->3
-2173.7961	0.00303360720832	5->8,2->8,3->8,0->3
-2173.8287	0.0029056011561	5->8,2->8,3->8,0->3
-2173.8993	0.00278632069385	5->8,2->8,3->8,0->3
-2173.9207	0.00266956571444	5->8,2->8,3->8,0->3
-2173.9887	0.00256048615209	5->8,2->8,3->8,0->3
-2174.0477	0.00245765611028	5->8,2->8,3->8,0->3
-2174.1054	0.0023605914317	5->8,2->8,3->8,0->3
-2174.1759	0.00227013416521	5->8,2->8,3->8,0->3
-2174.3223	0.00219199608304	5->8,2->8,3->8,0->3
-2174.3424	0.00211541289726	5->8,2->8,3->8,0->3
-2174.3474	0.00203921167172	5->8,2->8,3->8,0->3
-2174.3886	0.00196608614228	5->8,3->8,0->3
-2174.4342	0.00189622025238	5->8,3->8,0->3
-2174.5800	0.0018358330292	5->8,0->3
-2174.5990	0.00177658233208	5->8,0->3
-2174.6191	0.00171851068482	5->8,0->3
-2174.6401	0.00166164582651	5->8,0->3
-2174.6921	0.00160766237502	5->8,0->3
-2174.7108	0.00155467903389	5->8,0->3
-2174.7427	0.00150335918754	5->8,0->3
-2174.7838	0.00145410582965	5->8,0->3
-2174.8316	0.00140715140017	5->8,0->3
-2174.8697	0.00136195228342	5->8,0->3
-2174.9437	0.00131997714311	5->8,0->3
-2174.9687	0.0012790383727	5->8,0->3
-2175.0193	0.00124011956797	5->8,0->3
-2175.0354	0.00120182233889	5->8,0->3
-2175.0605	0.00116447440675	5->8,0->3
-2175.0873	0.00112811410581	5->8,0->3
-2175.1463	0.00109383700399	5->8,0->3
-2175.2203	0.00106200482979	5->8,0->3
-2175.2286	0.00103043576919	5->8,0->3
-2175.2537	0.000999649230292	5->8,0->3
-2175.3120	0.000970606228684	5->8,0->3
-2175.3216	0.000941840705861	5->8,0->3
-2175.3807	0.000914725964388	5->8,0->3
-2175.5053	0.000890787715639	5->8,0->3
-2175.5286	0.000867400780342	5->8,0->3
-2175.5732	0.000845033984161	5->8,0->3
-2175.6323	0.000823950762425	5->8,0->3
-2175.6975	0.000804198312198	5->8,0->3
-2175.7387	0.000785243126498	5->8,0->3
-2175.7706	0.000766883068469	5->8,0->3
-2175.8052	0.000749147404147	5->8,0->3
-2175.8335	0.000731906623492	5->8,0->3
-2175.8683	0.000715255502421	5->8,0->3
-2175.8699	0.000698631001841	5->8,0->3
-2175.8934	0.000682392622332	5->8,0->3
-2175.9302	0.000666740953502	5->8,0->3
-2176.0222	0.000652464985764	5->8,0->3
-2176.0423	0.000638473100385	5->8,0->3
-2176.0472	0.000624549607546	5->8,0->3
-2176.0884	0.000611188106095	5->8,0->3
-2176.1101	0.00059811342596	5->8,0->3
-2176.1311	0.000585310451216	5->8,0->3
-2176.1340	0.000572544551315	5->8,0->3
-2176.1450	0.000559918306799	5->8,0->3
-2176.1465	0.000547310987453	5->8,0->3
-2176.1842	0.000535170116253	5->8,0->3
-2176.2093	0.000523330188284	5->8,0->3
-2176.2145	0.000511551668141	5->8,0->3
-2176.2735	0.000500447977471	5->8,0->3
-2176.2766	0.000489378654945	5->8,0->3
-2176.2799	0.000478345800977	5->8,0->3
-2176.2988	0.000467519509781	5->8,0->3
-2176.3189	0.000456908654653	5->8,0->3
-2176.3400	0.000446519343065	5->8,0->3
-2176.3617	0.000436353051024	5->8,0->3
-2176.3827	0.000426398025059	5->8,0->3
-2176.4106	0.000416716905555	5->8,0->3
-2176.4488	0.000407398630368	5->8,0->3
